¿Cuál es la <b>entidad financiera</b> más prestigiosa?	Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	F
No consiguió realizar el <b>cómputo</b> a tiempo.	La <b>piedra</b> en la vesícula le producía mucho malestar.	F
El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	F
Esta sopa tendría que <b>saber</b> más a ajo.	Como se suele decir, el <b>saber</b> no ocupa lugar.	F
Deja una <b>candela</b> a mano porque van a cortar la luz.	Le han llevado dos <b>velas</b> al cementerio.	T
El <b>texto</b> que has publicado en el periódico es realmente bueno.	Este <b>artículo</b> le ayudará a obtener información sobre cómo organizar y usar archivos y carpetas en el equipo.	T
Dormía casi todas las noches en un <b>asiento</b> del patio.	Había un gran <b>grupo</b> de peces nadando bajo el barco.	F
Tienen una eslora de 119 metros, una <b>manga</b> de 12,4 y un calado de 5,4.	Le gusta mucho leer <b>manga</b> actual.	F
Le colocó el anillo en el <b>corazón</b>.	El <b>anular</b> suele ser el segundo dedo más largo.	F
La <b>sabiduría</b> no se valora como se merece.	Más importante todavía será el <b>saber</b> hermenéutico en la cultura judía precristiana.	T
Después las <b>baterías</b> se descargaron y dejó la radio sobre un estante.	Me acosté y pasé la tarde y la noche arrebujado bajo una <b>pila</b> de mantas.	F
Reconocí al barco desde lejos por su <b>vela</b>.	Reconocí al barco desde lejos por su <b>paño</b>.	T
Normalmente, se desarrolla el problema mediante una <b>operación</b> matemática.	Normalmente, se desarrolla el problema mediante un <b>profesor</b> matemático.	F
Después las <b>baterías</b> se descargaron y dejó la radio sobre un estante.	Este mando no tiene <b>batería</b>, por eso no funciona.	T
Deja una <b>tijera</b> a mano porque van a cortar la luz.	Deja una <b>candela</b> a mano porque van a cortar la luz.	F
La <b>sabiduría</b> no se valora como se merece.	La pizza no debería <b>saber</b> tanto a piña.	F
No consiguió realizar el <b>cómputo</b> a tiempo.	Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	F
La directora de este <b>banco</b> estudió economía en la universidad.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	T
Hablaban de lo que podía suceder si el <b>pacto</b> entre las izquierdas y los burgueses se llevaba a cabo.	Siempre que me acuesto me <b>acuerdo</b> de él.	F
El fuerto viento provocó la rotura de las <b>velas</b>.	Le han llevado dos <b>velas</b> al cementerio.	F
Este <b>artículo</b> le ayudará a obtener información sobre cómo organizar y usar archivos y carpetas en el equipo.	El <b>artículo</b> ha sido publicado en varias páginas web.	T
Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	F
Había un gran <b>grupo</b> de peces nadando bajo el barco.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	F
Reconocí al barco desde lejos por su <b>paño</b>.	El fuerto viento provocó la rotura de las <b>velas</b>.	T
Tiene 5,60 metros de eslora, 1,50 de <b>manga</b> y 150 kilos de peso.	Pensaba que era más corto que la <b>manga</b> de un chaleco.	F
La historia del <b>manga</b> en España se remonta a mediados de los años 70, cuando empezaron a aparecer las primeras viñetas niponas.	Pensaba que era más corto que la <b>manga</b> de un chaleco.	F
Tiene 5,60 metros de eslora, 1,50 de <b>ancho</b> y 150 kilos de peso.	Tiene 5,60 metros de eslora, 1,50 de <b>altura</b> y 150 kilos de peso.	F
Más importante todavía será el <b>conocimiento</b> hermenéutico en la cultura judía precristiana.	No quiero ni <b>saber</b> lo que le han dicho!	F
Con estos métodos se consigue mayor amplitud en la validez del <b>cálculo</b> teórico.	Un <b>cálculo</b> puede ser capaz de provocar un ataque doloroso.	F
Dormía casi todas las noches en un <b>asiento</b> del patio.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	F
El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	¿Cuál es la <b>entidad financiera</b> más prestigiosa?	F
El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	La directora de este <b>banco</b> estudió economía en la universidad.	F
Este <b>documento</b> le ayudará a obtener información sobre cómo organizar y usar archivos y carpetas en el equipo.	Este <b>vídeo</b> le ayudará a obtener información sobre cómo organizar y usar archivos y carpetas en el equipo.	F
Dos anarquistas condenador por <b>atracar</b> un banco.	De ser yo un cosaco me limitaría a <b>asaltar</b> aquellos convoyes cuyos carros no pudiesen ser bien defendidos.	T
Deja una <b>candela</b> a mano porque van a cortar la luz.	Reconocí al barco desde lejos por su <b>vela</b>.	F
Parece que no habrá <b>acuerdo</b> entre ambos partidos.	Esto es fruto, como es sabido, de un profundo <b>acuerdo</b> social y político.	T
La pizza no debería <b>saber</b> tanto a piña.	No quiero ni <b>saber</b> lo que le han dicho!	F
El <b>cuadro</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	Dormía casi todas las noches en un <b>asiento</b> del patio.	F
Uno de ellos afirma que el patrón no consiguió <b>atracar</b> el barco de aquella gente rica.	Tiene poco calado para poder <b>pescar</b> en la playa del Lastre.	F
Normalmente, se desarrolla el problema mediante un <b>cálculo</b> matemático.	Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	F
El <b>velamen</b> de la embarcación parecía tener muchos años.	El fuerto viento provocó la rotura de las <b>velas</b>.	T
Son distribuidores y vendedores al por mayor de <b>productos</b> de regalo y souvenir.	El negocio se basa en la venta de <b>objetos</b> de regalo.	T
Un <b>cálculo</b> puede ser capaz de provocar un ataque doloroso.	La <b>piedra</b> en la vesícula le producía mucho malestar.	T
Había un gran <b>grupo</b> de peces nadando bajo el barco.	Se detectaba el <b>conjunto</b> de sardina y se largaba la red rodeándolo.	T
La banda ha sido desarticulada cuando intentaba <b>pintar</b> una joyería.	Dos anarquistas condenador por <b>atracar</b> un banco.	F
Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	F
Había un gran <b>grupo</b> de peces nadando bajo el barco.	Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	T
Hablaban de lo que podía suceder si el <b>pacto</b> entre las izquierdas y los burgueses se llevaba a cabo.	Esto es fruto, como es sabido, de un profundo <b>conflicto</b> social y político.	F
El <b>texto</b> que has publicado en el periódico es realmente bueno.	El <b>artículo</b> ha sido publicado en varias páginas web.	T
Creo que el libro que me pides está en esta <b>estantería</b> de ahí.	Creo que el libro que me pides está en este <b>montón</b> de ahí.	F
Este <b>artículo</b> le ayudará a obtener información sobre cómo organizar y usar archivos y carpetas en el equipo.	Son distribuidores y vendedores al por mayor de <b>artículos</b> de regalo y souvenir.	F
Un <b>lobo</b> puede ser capaz de provocar un ataque doloroso.	Una <b>piedra biliar</b> puede ser capaz de provocar un ataque doloroso.	F
Son distribuidores y vendedores al por mayor de <b>productos</b> de regalo y souvenir.	Son distribuidores y vendedores al por mayor de <b>coches</b> de regalo y souvenir.	F
Tiene poco calado para poder <b>atracar</b> en la playa del Lastre.	Dos anarquistas condenador por <b>atracar</b> un banco.	F
Siempre que me acuesto me <b>acuerdo</b> de él.	Pensando en ellos <b>recuerdo</b> a Martin Niemöller, aquel pastor protestante que había sido torturado.	T
Le gustaría <b>conocer</b> mejor a sus adversarios.	Quiere <b>conocer</b> si se han casado.	T
Normalmente, se desarrolla el problema mediante un <b>cálculo</b> matemático.	Un <b>cálculo</b> puede ser capaz de provocar un ataque doloroso.	F
Esto es fruto, como es sabido, de un profundo <b>acuerdo</b> social y político.	Pensando en ellos <b>recuerdo</b> a Martin Niemöller, aquel pastor protestante que había sido torturado.	F
La historia del <b>manga</b> en España se remonta a mediados de los años 70, cuando empezaron a aparecer las primeras viñetas niponas.	Tiene 5,60 metros de eslora, 1,50 de <b>ancho</b> y 150 kilos de peso.	F
Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	Aunque la cuenta esté vacía, la <b>entidad financiera</b> sigue estando obligada a pagar la factura a final de mes.	F
¿Cómo puedo <b>cancelar</b> el contrato y de cuánto tiempo dispongo para darme de baja?	El gobierno debería <b>anular</b> esta ley de inmediato.	T
Como se suele decir, el <b>saber</b> no ocupa lugar.	Más importante todavía será el <b>saber</b> hermenéutico en la cultura judía precristiana.	T
Este <b>artículo</b> le ayudará a obtener información sobre cómo organizar y usar archivos y carpetas en el equipo.	Son distribuidores y vendedores al por mayor de <b>productos</b> de regalo y souvenir.	F
El fuerto viento provocó la rotura de las <b>velas</b>.	Deja una <b>vela</b> a mano porque van a cortar la luz.	F
Hoy <b>recuerdo</b> aquella noche con mucha tristeza.	Hablaban de lo que podía suceder si el <b>pacto</b> entre las izquierdas y los burgueses se llevaba a cabo.	F
Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	F
No quiero ni <b>saber</b> lo que le han dicho!	Quiere <b>conocer</b> si se han casado.	T
Hablaban de lo que podía suceder si el <b>pacto</b> entre las izquierdas y los burgueses se llevaba a cabo.	Esto es fruto, como es sabido, de un profundo <b>acuerdo</b> social y político.	T
Después las <b>baterías</b> se descargaron y dejó la radio sobre un estante.	Creo que el libro que me pides está en esta <b>pila</b> de ahí.	F
Ubicó el segundo <b>montón</b> y acomodó las copias al lado.	Me acosté y pasé la tarde y la noche arrebujado bajo una <b>pila</b> de mantas.	T
El gobierno debería <b>anular</b> esta ley de inmediato.	¿Cómo puedo <b>anular</b> el contrato y de cuánto tiempo dispongo para darme de baja?	T
No quiero ni <b>saber</b> lo que le han dicho!	La <b>sabiduría</b> no se valora como se merece.	F
Hoy <b>recuerdo</b> aquella noche con mucha tristeza.	Parece que no habrá <b>acuerdo</b> entre ambos partidos.	F
Notaba que algo se iba desgastando dentro, como la <b>pila</b> de una linterna.	Ubicó el segundo <b>montón</b> y acomodó las copias al lado.	F
Quiere <b>saber</b> si se han casado.	La <b>sabiduría</b> no se valora como se merece.	F
El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	La directora de este <b>banco</b> estudió economía en la universidad.	F
De ser yo un cosaco me limitaría a <b>asaltar</b> aquellos convoyes cuyos carros no pudiesen ser bien defendidos.	Tiene poco calado para poder <b>atracar</b> en la playa del Lastre.	F
La <b>piedra</b> en la vesícula le producía mucho malestar.	Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	T
Normalmente, se desarrolla el problema mediante un <b>cálculo</b> matemático.	No consiguió realizar el <b>cómputo</b> a tiempo.	T
Pensando en ellos me <b>acuerdo</b> de Martin Niemöller, aquel pastor protestante que había sido torturado.	Parece que no habrá <b>acuerdo</b> entre ambos partidos.	F
Había un gran <b>grupo</b> de peces nadando bajo el barco.	Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	F
Quiere <b>conocer</b> si se han casado.	Más importante todavía será el <b>saber</b> hermenéutico en la cultura judía precristiana.	F
Hablaban de lo que podía suceder si el <b>pacto</b> entre las izquierdas y los burgueses se llevaba a cabo.	Pensando en ellos me <b>acuerdo</b> de Martin Niemöller, aquel pastor protestante que había sido torturado.	F
Dos anarquistas condenador por <b>atracar</b> un banco.	La banda ha sido desarticulada cuando intentaba <b>atracar</b> una joyería.	T
Reconocí al barco desde lejos por su <b>paño</b>.	Deja una <b>vela</b> a mano porque van a cortar la luz.	F
Tiene 5,60 metros de eslora, 1,50 de <b>altura</b> y 150 kilos de peso.	El galeón tenía unos 6 metros de <b>ancho</b>, aproximadamente.	F
Pensando en ellos me <b>olvido</b> de Martin Niemöller, aquel pastor protestante que había sido torturado.	Pensando en ellos <b>recuerdo</b> a Martin Niemöller, aquel pastor protestante que había sido torturado.	F
Uno de ellos afirma que el patrón no consiguió <b>atracar</b> el barco de aquella gente rica.	Tiene poco calado para poder <b>atracar</b> en la playa del Lastre.	T
Después las <b>baterías</b> se descargaron y dejó la radio sobre un estante.	Este mando no tiene <b>botones</b>, por eso no funciona.	F
Deja una <b>vela</b> a mano porque van a cortar la luz.	El <b>velamen</b> de la embarcación parecía tener muchos años.	F
Creo que el libro que me pides está en este <b>montón</b> de ahí.	Creo que el libro que me pides está en esta <b>pila</b> de ahí.	T
El <b>anular</b> suele ser el segundo dedo más largo.	¿Cómo puedo <b>cancelar</b> el contrato y de cuánto tiempo dispongo para darme de baja?	F
Los pescadores nativos sabían por dónde se movían los mejores <b>bancos</b>.	El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	F
Un <b>lobo</b> puede ser capaz de provocar un ataque doloroso.	Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	F
El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	F
Esta sopa tendría que <b>oler</b> más a ajo.	La pizza no debería <b>saber</b> tanto a piña.	F
Quiere <b>conocer</b> si se han casado.	Quiere <b>omitir</b> si se han casado.	F
Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	Una <b>piedra biliar</b> puede ser capaz de provocar un ataque doloroso.	T
El gobierno debería <b>anular</b> esta ley de inmediato.	¿Cómo puedo <b>formalizar</b> el contrato y de cuánto tiempo dispongo para darme de baja?	F
El negocio se basa en la venta de <b>objetos</b> de regalo.	El <b>artículo</b> ha sido publicado en varias páginas web.	F
Quiere <b>saber</b> si se han casado.	La pizza no debería <b>saber</b> tanto a piña.	F
Reconocí al barco desde lejos por su <b>vela</b>.	El fuerto viento provocó la rotura de las <b>velas</b>.	T
Esta sopa tendría que <b>saber</b> más a ajo.	La <b>sabiduría</b> no se valora como se merece.	F
Le han llevado dos <b>velas</b> al cementerio.	El <b>velamen</b> de la embarcación parecía tener muchos años.	F
Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	Aunque la cuenta esté vacía, el <b>banco</b> sigue estando obligado a pagar la factura a final de mes.	F
Siempre que me acuesto me <b>acuerdo</b> de él.	Hoy <b>recuerdo</b> aquella noche con mucha tristeza.	T
Son distribuidores y vendedores al por mayor de <b>artículos</b> de regalo y souvenir.	Son distribuidores y vendedores al por mayor de <b>productos</b> de regalo y souvenir.	T
La <b>sabiduría</b> no se valora como se merece.	Más importante todavía será el <b>pasado</b> hermenéutico en la cultura judía precristiana.	F
A medio camino de Karlsruhe decidí <b>cancelar</b> mi viaje a Toulouse.	Le colocó el anillo en el <b>anular</b>.	F
Después las <b>baterías</b> se descargaron y dejó la radio sobre un estante.	Creo que el libro que me pides está en este <b>montón</b> de ahí.	F
Tiene poco calado para poder <b>atracar</b> en la playa del Lastre.	La banda ha sido desarticulada cuando intentaba <b>asaltar</b> una joyería.	F
Se detectaba el <b>olor</b> de sardina y se largaba la red rodeándolo.	Se detectaba el <b>conjunto</b> de sardina y se largaba la red rodeándolo.	F
El gobierno debería <b>anular</b> esta ley de inmediato.	El <b>anular</b> suele ser el segundo dedo más largo.	F
El <b>banco</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	¿Cuál es la <b>entidad financiera</b> más prestigiosa?	F
La pizza no debería <b>saber</b> tanto a piña.	Más importante todavía será el <b>conocimiento</b> hermenéutico en la cultura judía precristiana.	F
La banda ha sido desarticulada cuando intentaba <b>atracar</b> una joyería.	La banda ha sido desarticulada cuando intentaba <b>asaltar</b> una joyería.	T
Más importante todavía será el <b>saber</b> hermenéutico en la cultura judía precristiana.	No quiero ni <b>saber</b> lo que le han dicho!	F
Como se suele decir, el <b>saber</b> no ocupa lugar.	No quiero ni <b>saber</b> lo que le han dicho!	F
¿Cómo puedo <b>anular</b> el contrato y de cuánto tiempo dispongo para darme de baja?	¿Cómo puedo <b>formalizar</b> el contrato y de cuánto tiempo dispongo para darme de baja?	F
No quiero ni <b>saber</b> lo que le han dicho!	Quiere <b>saber</b> si se han casado.	T
Dormía casi todas las noches en un <b>asiento</b> del patio.	El ayutamiento va a colocar nuevos <b>bancos</b> en esta plaza.	T
¿Cuál es la <b>entidad financiera</b> más prestigiosa?	Se detectaba el <b>conjunto</b> de sardina y se largaba la red rodeándolo.	F
Como se suele decir, el <b>saber</b> no ocupa lugar.	La <b>sabiduría</b> no se valora como se merece.	T
Como se suele decir, el <b>saber</b> no ocupa lugar.	Más importante todavía será el <b>pasado</b> hermenéutico en la cultura judía precristiana.	F
Tras la irritación provocada por el <b>cálculo</b>, tiene lugar una contracción generalizada.	Un <b>cálculo</b> puede ser capaz de provocar un ataque doloroso.	T
La historia del <b>manga</b> en España se remonta a mediados de los años 70, cuando empezaron a aparecer las primeras viñetas niponas.	Tienen una eslora de 119 metros, una <b>manga</b> de 12,4 y un calado de 5,4.	F
El <b>asiento</b> puede ser de materiales sencillos como yeso o piedra y arrimarse a las paredes de las viviendas y edificios.	Se detectaba el <b>banco</b> de sardina y se largaba la red rodeándolo.	F
Le han llevado dos <b>velas</b> al cementerio.	Reconocí al barco desde lejos por su <b>vela</b>.	F
Este mando no tiene <b>batería</b>, por eso no funciona.	Este mando no tiene <b>botones</b>, por eso no funciona.	F
Pensando en ellos me <b>acuerdo</b> de Martin Niemöller, aquel pastor protestante que había sido torturado.	Esto es fruto, como es sabido, de un profundo <b>pacto</b> social y político.	F
Normalmente, se desarrolla el problema mediante una <b>operación</b> matemática.	Una <b>piedra biliar</b> puede ser capaz de provocar un ataque doloroso.	F
Hablaban de lo que podía suceder si el <b>pacto</b> entre las izquierdas y los burgueses se llevaba a cabo.	Parece que no habrá <b>acuerdo</b> entre ambos partidos.	T
El <b>velamen</b> de la embarcación parecía tener muchos años.	Reconocí al barco desde lejos por su <b>forma</b>.	F
