manga	Puxa para trás uma <b>manga</b> para mostrar no braço uma cicatriz de bala.	A influência dos <b>manga</b> começa a tornar-se uma característica frequente no panorama europeu de histórias aos quadradinhos.	F
banco	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	F
olho	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	F
quarto	O marido está no <b>quarto</b> ao lado.	Falta um <b>quarto</b> para as nove.	F
instituição financeira	O Estado valida o empréstimo junto de uma <b>instituição financeira</b> e passa a deter o controlo das finanças municipais.	Hoje eu não tenho mais relação com a <b>instituição financeira</b>, pois minha conta é digital.	T
local	Ontem, no <b>local</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Vai começar a edificação de um <b>local</b> social e de um novo pavilhão.	T
bola	A Isabel fez uma <b>bola</b> de chouriço muito boa.	Estão a cozer as <b>bolas</b> para amanhã.	T
saber	Foi acusado de <b>saber</b> da existência de uma conta secreta na Suíça.	Para além de <b>saber</b> muito bem antes de uma sardinha assada numa noite de santos populares, também é uma boa escolha para um jantar.	F
esférico	Nogueira, à boca da baliza, não foi capaz de tocar o <b>esférico</b> na sequência de um canto.	A capacidade para roubar o <b>esférico</b> ao adversário é o seu melhor trunfo.	T
quarto	Caminhava na direcção do meu <b>quarto</b>, no Savoy, quando um episódio, aliás comum, me demorou ainda.	Falta um <b>quarto</b> para as nove.	F
manga	Acodem homens e mulheres de <b>manga</b> curta e calças arregaçadas.	A influência dos <b>manga</b> começa a tornar-se uma característica frequente no panorama europeu de histórias aos quadradinhos.	F
manga	Nunca na minha vida comi tanta <b>manga</b> nem tanta fruta.	Acodem homens e mulheres de <b>manga</b> curta e calças arregaçadas.	F
olho	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	T
banco	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	Ele era ex-governador do <b>banco</b> central.	F
saber	Foi acusado de <b>saber</b> da existência de uma conta secreta na Suíça.	Mas resta <b>saber</b> se o tiro não lhe vai sair pela culatra.	T
vela	Então, se acendes a <b>vela</b>, já não está escuro, é bom.	Cinco embarcações, a motor e à <b>vela</b>, transportarão ao longo de todo o percurso da prova o júri.	F
manga	O kiwi ou a <b>manga</b> frequentemente apodrecem por não terem compradores.	Nunca na minha vida comi tanta <b>manga</b> nem tanta fruta.	T
manga	O kiwi ou a <b>manga</b> frequentemente apodrecem por não terem compradores.	Acodem homens e mulheres de <b>manga</b> curta e calças arregaçadas.	F
observo	Aquilo que <b>observo</b> diariamente, e garanto-vos que estou atenta, é preocupante.	Em alguns casos eu <b>observo</b> e vejo se tem alguma afinidade, e aí aceito.	T
banco	Foi investigado por estuprar a jovem de 19 anos, entrando no <b>banco</b> de trás da viatura junto com a vítima.	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	T
vela	Sem esse sistema, o navegador está privado de um auxílio fundamental para adaptar sozinho o tamanho da <b>vela</b> à força dos ventos.	Cinco embarcações, a motor e à <b>vela</b>, transportarão ao longo de todo o percurso da prova o júri.	T
vela	Cinco embarcações, a motor e à <b>vela</b>, transportarão ao longo de todo o percurso da prova o júri.	E é à luz de uma <b>vela</b> que vai ver fotografias que o torturam e ler páginas do diário que acaba por queimar.	F
cálculo	Em 1994 chegou a ser necessário extraírem-lhe um <b>cálculo</b> na vesícula.	Não existe um <b>cálculo</b> preciso do número de mortos entre os iraquianos.	F
olho	Não <b>olho</b> tanto para esse fator individual.	A francesa estava a piscar o <b>olho</b> ao seu companheiro.	F
manga	O kiwi ou a <b>manga</b> frequentemente apodrecem por não terem compradores.	Puxa para trás uma <b>manga</b> para mostrar no braço uma cicatriz de bala.	F
cálculo	Em 1994 chegou a ser necessário extraírem-lhe um <b>cálculo</b> na vesícula.	O bloqueio do canal biliar por um <b>cálculo</b> causa uma dor característica na parte superior direita do abdómen.	T
dormitório	O marido está no <b>dormitório</b> ao lado.	Estavam instalados no mesmo <b>dormitório</b>, e a cumplicidade entre os dois nasceu do gosto comum de tocarem guitarra.	T
cálculo	O bloqueio do canal biliar por um <b>cálculo</b> causa uma dor característica na parte superior direita do abdómen.	Um <b>cálculo</b> simples indica que nestas décadas houve um morto por terrorismo cada 2 dias.	F
vela	Então, se acendes a <b>vela</b>, já não está escuro, é bom.	E é à luz de uma <b>vela</b> que vai ver fotografias que o torturam e ler páginas do diário que acaba por queimar.	T
quarto	Juntam quase um <b>quarto</b> dos habitantes, os quais gastam cerca de 1200 contos por ano.	Caminhava na direcção do meu <b>quarto</b>, no Savoy, quando um episódio, aliás comum, me demorou ainda.	F
manga	Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	Nunca na minha vida comi tanta <b>manga</b> nem tanta fruta.	F
banco	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Ele era ex-governador do <b>banco</b> central.	F
bola	A Isabel fez uma <b>bola</b> de chouriço muito boa.	A capacidade para roubar a <b>bola</b> ao adversário é o seu melhor trunfo.	F
cálculo	Não existe um <b>cálculo</b> preciso do número de mortos entre os iraquianos.	Um <b>cálculo</b> simples indica que nestas décadas houve um morto por terrorismo cada 2 dias.	T
conhecer	Foi acusado de <b>conhecer</b> a existência de uma conta secreta na Suíça.	O menino queria <b>conhecer</b> os truques.	T
olho	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	F
pano	Sem esse sistema, o navegador está privado de um auxílio fundamental para adaptar sozinho o tamanho do <b>pano</b> à força dos ventos.	A medida que o vento aumenta, optamos por envergar menos <b>pano</b>.	T
manga	Puxa para trás uma <b>manga</b> para mostrar no braço uma cicatriz de bala.	Acodem homens e mulheres de <b>manga</b> curta e calças arregaçadas.	T
atacar	Vamos jogar mais ou menos fechados na retaguarda e <b>atacar</b> quando tivermos a bola.	Vou <b>atacar</b> bem os ténis.	F
manga	O kiwi ou a <b>manga</b> frequentemente apodrecem por não terem compradores.	Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	F
saber	Mas resta <b>saber</b> se o tiro não lhe vai sair pela culatra.	Para além de <b>saber</b> muito bem antes de uma sardinha assada numa noite de santos populares, também é uma boa escolha para um jantar.	F
quarto	O marido está no <b>quarto</b> ao lado.	Caminhava na direcção do meu <b>quarto</b>, no Savoy, quando um episódio, aliás comum, me demorou ainda.	T
sede	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	F
sede	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	E cita outras dificuldades, como cansaço, <b>sede</b> e fome.	T
mango	Viajou com um amigo da mesma idade e trazia ao ombro uma pequena trouxa com uma banana e um <b>mango</b>, para enganar o estômago na viagem.	O kiwi ou o <b>mango</b> frequentemente apodrecem por não terem compradores.	T
invalidar	O Tribunal acabaria por <b>invalidar</b> a compra do imóvel pelo Banif.	O Supremo Tribunal de Justiça de Londres decidiu <b>invalidar</b> o mandado de captura judicial.	T
atacar	Recomendava <b>atacar</b> o sapato no meio do jogo, por exemplo.	Vou <b>atacar</b> bem os ténis.	T
saber	Foi acusado de <b>saber</b> da existência de uma conta secreta na Suíça.	Com toques de canela, vai <b>saber</b> muito bem com um chá!	F
saber	Com toques de canela, vai <b>saber</b> muito bem com um chá!	Para além de <b>saber</b> muito bem antes de uma sardinha assada numa noite de santos populares, também é uma boa escolha para um jantar.	T
anular	O Tribunal acabaria por <b>anular</b> a compra do imóvel pelo Banif.	Pode-se <b>anular</b> todas as leis que se queira, comentou encolhendo os ombros.	T
manga	Acodem homens e mulheres de <b>manga</b> curta e calças arregaçadas.	Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	F
bola	O controlo da <b>bola</b> era agora do FC Porto, embora as oportunidades aparecessem junto das duas balizas.	Estão a cozer as <b>bolas</b> para amanhã.	F
quarto	Juntam quase um <b>quarto</b> dos habitantes, os quais gastam cerca de 1200 contos por ano.	Falta um <b>quarto</b> para as nove.	T
atacar	Metade da equipa se preocupa apenas em <b>atacar</b> e a outra metade em tentar defender.	Vou <b>atacar</b> bem os ténis.	F
olho	Em alguns casos eu <b>olho</b> e vejo se tem alguma afinidade, e aí aceito.	Não <b>olho</b> tanto para esse fator individual.	T
bola	A capacidade para roubar a <b>bola</b> ao adversário é o seu melhor trunfo.	Estão a cozer as <b>bolas</b> para amanhã.	F
atacar	Recomendava <b>atacar</b> o sapato no meio do jogo, por exemplo.	Metade da equipa se preocupa apenas em <b>atacar</b> e a outra metade em tentar defender.	F
atacar	Vamos jogar mais ou menos fechados na retaguarda e <b>atacar</b> quando tivermos a bola.	Metade da equipa se preocupa apenas em <b>atacar</b> e a outra metade em tentar defender.	T
manga	Puxa para trás uma <b>manga</b> para mostrar no braço uma cicatriz de bala.	Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	F
manga	A influência dos <b>manga</b> começa a tornar-se uma característica frequente no panorama europeu de histórias aos quadradinhos.	O kiwi ou a <b>manga</b> frequentemente apodrecem por não terem compradores.	F
olho	Não <b>olho</b> tanto para esse fator individual.	Contorne o <b>olho</b> na parte de baixo com uma sombra para demarcar bem a região.	F
bola	O controlo da <b>bola</b> era agora do FC Porto, embora as oportunidades aparecessem junto das duas balizas.	A Isabel fez uma <b>bola</b> de chouriço muito boa.	F
atacar	Recomendava <b>atacar</b> o sapato no meio do jogo, por exemplo.	Vamos jogar mais ou menos fechados na retaguarda e <b>atacar</b> quando tivermos a bola.	F
círio	E é à luz de um <b>círio</b> que vai ver fotografias que o torturam e ler páginas do diário que acaba por queimar.	Só com um <b>círio</b> aceso se descobre um livro sobre este tema numa das grandes livrarias de Lisboa.	T
banco	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	Ele era ex-governador do <b>banco</b> central.	T
manga	Nunca na minha vida comi tanta <b>manga</b> nem tanta fruta.	Puxa para trás uma <b>manga</b> para mostrar no braço uma cicatriz de bala.	F
sede	Ontem, na <b>sede</b> da sua administração, Arafat prometeu assumir responsabilidades na luta contra o terrorismo.	Algumas casas nocturnas da cidade montarão no local pequenos bares para matar a <b>sede</b> a todos aqueles que resolvam abanar o melão na pista de dança.	F
atar	Esquece sempre de <b>atar</b> os sapatos.	Vou <b>atar</b> bem os ténis.	T
quarto	O marido está no <b>quarto</b> ao lado.	Juntam quase um <b>quarto</b> dos habitantes, os quais gastam cerca de 1200 contos por ano.	F
cálculo	Um <b>cálculo</b> simples indica que nestas décadas houve um morto por terrorismo cada 2 dias.	Em 1994 chegou a ser necessário extraírem-lhe um <b>cálculo</b> na vesícula.	F
bola	O controlo da <b>bola</b> era agora do FC Porto, embora as oportunidades aparecessem junto das duas balizas.	A capacidade para roubar a <b>bola</b> ao adversário é o seu melhor trunfo.	T
saber	Com toques de canela, vai <b>saber</b> muito bem com um chá!	Mas resta <b>saber</b> se o tiro não lhe vai sair pela culatra.	F
pedra	Em 1994 chegou a ser necessário extraírem-lhe uma <b>pedra</b> na vesícula.	Na presença de <b>pedra</b> nos rins, a pessoa normalmente sente muita dor no final das costas.	T
manga	Uma área destinada a dar a conhecer ao público português o universo da criação nipónica no campo dos <b>manga</b>.	A influência dos <b>manga</b> começa a tornar-se uma característica frequente no panorama europeu de histórias aos quadradinhos.	T
vela	Então, se acendes a <b>vela</b>, já não está escuro, é bom.	Sem esse sistema, o navegador está privado de um auxílio fundamental para adaptar sozinho o tamanho da <b>vela</b> à força dos ventos.	F
cômputo	Um <b>cômputo</b> simples indica que nestas décadas houve um morto por terrorismo cada 2 dias.	Não creio que, no <b>cômputo</b> global, os espiões tenham tido muita importância.	T
vela	Sem esse sistema, o navegador está privado de um auxílio fundamental para adaptar sozinho o tamanho da <b>vela</b> à força dos ventos.	E é à luz de uma <b>vela</b> que vai ver fotografias que o torturam e ler páginas do diário que acaba por queimar.	F
banco	A carrinha continha um esconderijo de armas e munições no <b>banco</b> do passageiro dianteiro.	Hoje eu não tenho mais relação com o <b>banco</b>, pois minha conta é digital.	F
cálculo	O bloqueio do canal biliar por um <b>cálculo</b> causa uma dor característica na parte superior direita do abdómen.	Não existe um <b>cálculo</b> preciso do número de mortos entre os iraquianos.	F
assento	A carrinha continha um esconderijo de armas e munições no <b>assento</b> do passageiro dianteiro.	Colocam-nos no <b>assento</b> de alguns dos mais icónicos carros de F1 de sempre.	T
manga	Nunca na minha vida comi tanta <b>manga</b> nem tanta fruta.	A influência dos <b>manga</b> começa a tornar-se uma característica frequente no panorama europeu de histórias aos quadradinhos.	F
